Product,Subscribers From,Subscribers To,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
"[Enterprise, Unlimited] Salesforce Scheduler",15001,20000,75.00%,80.00%,86.00%,88.00%,,>88.00%
"[Enterprise, Unlimited] Salesforce Scheduler",20001,30000,80.00%,83.00%,86.00%,90.00%,,>90.00%
"[Enterprise, Unlimited] Salesforce Scheduler",30001,40000,85.00%,86.00%,88.00%,90.50%,,>90.50%
"[Enterprise, Unlimited] Salesforce Scheduler",40001,50000,85.00%,88.00%,90.00%,92.30%,,>92.30%
"[Enterprise, Unlimited] Salesforce Scheduler",50001,1000000000,,,,,,>0.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",1,9,16.00%,22.00%,30.00%,39.00%,44.00%,>44.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",10,24,17.00%,23.00%,33.00%,43.00%,49.00%,>49.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",25,49,20.00%,26.00%,34.00%,44.00%,51.00%,>51.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",50,99,21.00%,27.00%,35.00%,45.00%,53.00%,>53.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",100,199,23.00%,29.00%,39.00%,49.00%,56.00%,>56.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",200,499,24.00%,36.00%,46.00%,54.00%,58.00%,>58.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",500,999,24.00%,39.00%,50.00%,59.00%,64.00%,>64.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",1000,1999,25.00%,41.00%,52.00%,62.00%,67.00%,>67.00%
"[Essentials, Professional, Enterprise, Unlimited] Einstein Next Best Action Additional Requests (No Third-Party Terms)",2000,1000000000,25.00%,44.00%,57.00%,68.00%,73.00%,>73.00%
"[Professional, Enterprise, Unlimited] Knowledge",1,999999999,,,,,,>0.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),1,49,36.00%,42.00%,49.00%,55.00%,,>55.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),50,199,43.00%,50.00%,56.00%,62.00%,,>62.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),200,599,46.00%,53.00%,59.00%,66.00%,,>66.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),600,999,50.00%,56.00%,62.00%,69.00%,,>69.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),1000,1999,53.00%,59.00%,66.00%,72.00%,,>72.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),2000,4999,56.00%,62.00%,69.00%,75.00%,,>75.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),5000,7999,64.00%,72.00%,78.00%,79.00%,81.00%,>81.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),8000,9999,68.00%,76.00%,81.00%,82.00%,84.00%,>84.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),10000,19999,72.00%,80.00%,83.00%,86.00%,88.00%,>88.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),20000,49999,76.00%,84.00%,88.00%,89.00%,90.00%,>90.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),50000,99999,80.00%,86.00%,88.00%,90.00%,92.00%,>92.00%
[Enterprise] Employee Experience for Public Sector-Login(10K credits),100000,199999,86.00%,90.00%,92.00%,94.00%,96.00%,>96.00%
[Enterprise] Manufacturing Cloud - Service,1,9,16.00%,36.00%,38.00%,46.00%,55.00%,>55.00%
[Enterprise] Manufacturing Cloud - Service,10,24,16.00%,36.00%,38.00%,46.00%,55.00%,>55.00%
[Enterprise] Manufacturing Cloud - Service,25,49,23.00%,38.00%,41.00%,52.00%,55.00%,>55.00%
[Enterprise] Manufacturing Cloud - Service,50,99,23.00%,39.00%,42.00%,58.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Service,100,199,23.00%,41.00%,43.00%,59.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Service,200,499,23.00%,45.00%,46.00%,59.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Service,500,999,23.00%,45.00%,49.00%,59.00%,61.00%,>61.00%
[Enterprise] Manufacturing Cloud - Service,1000,999999999,29.00%,49.00%,56.00%,61.00%,64.00%,>64.00%
"[Enterprise, Unlimited] Visual Remote Assistant",1,9,14.00%,19.00%,24.00%,32.00%,,>32.00%
"[Enterprise, Unlimited] Visual Remote Assistant",10,19,14.00%,19.00%,24.00%,32.00%,,>32.00%
"[Enterprise, Unlimited] Visual Remote Assistant",20,29,14.00%,19.00%,24.00%,33.00%,,>33.00%
"[Enterprise, Unlimited] Visual Remote Assistant",30,39,14.00%,19.00%,24.00%,34.00%,,>34.00%
"[Enterprise, Unlimited] Visual Remote Assistant",40,49,14.00%,19.00%,24.00%,35.00%,,>35.00%
"[Enterprise, Unlimited] Visual Remote Assistant",50,99,18.00%,27.00%,28.00%,36.00%,,>36.00%
"[Enterprise, Unlimited] Visual Remote Assistant",100,199,19.00%,27.00%,29.00%,37.00%,,>37.00%
"[Enterprise, Unlimited] Visual Remote Assistant",200,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",1,9,19.00%,24.00%,29.00%,33.00%,43.00%,>43.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",10,49,30.00%,34.00%,38.00%,42.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",50,199,32.00%,36.00%,40.00%,44.00%,52.00%,>52.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",200,499,33.00%,37.00%,41.00%,45.00%,53.00%,>53.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",500,999,36.00%,40.00%,44.00%,47.00%,55.00%,>55.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",1000,1999,45.00%,48.00%,51.00%,54.00%,61.00%,>61.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",2000,2999,46.00%,49.00%,52.00%,55.00%,62.00%,>62.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",3000,4999,52.00%,55.00%,58.00%,60.00%,66.00%,>66.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",5000,7499,55.00%,57.00%,60.00%,63.00%,68.00%,>68.00%
"[Enterprise, Unlimited] Agentforce for Service Add-on",7500,999999999,56.00%,59.00%,61.00%,64.00%,69.00%,>69.00%
[Enterprise] Media Cloud Growth - Service,1,9,40.00%,44.00%,52.00%,59.00%,63.00%,>63.00%
[Enterprise] Media Cloud Growth - Service,10,24,40.00%,45.00%,53.00%,59.00%,66.00%,>66.00%
[Enterprise] Media Cloud Growth - Service,25,49,42.00%,45.00%,53.00%,61.00%,66.00%,>66.00%
[Enterprise] Media Cloud Growth - Service,50,99,43.00%,46.00%,54.00%,62.00%,67.00%,>67.00%
[Enterprise] Media Cloud Growth - Service,100,199,44.00%,50.00%,57.00%,65.00%,69.00%,>69.00%
[Enterprise] Media Cloud Growth - Service,200,499,45.00%,54.00%,61.00%,67.00%,70.00%,>70.00%
[Enterprise] Media Cloud Growth - Service,500,999,46.00%,56.00%,63.00%,70.00%,73.00%,>73.00%
[Enterprise] Media Cloud Growth - Service,1000,1999,47.00%,58.00%,65.00%,73.00%,76.00%,>76.00%
[Enterprise] Media Cloud Growth - Service,2000,999999999,48.00%,60.00%,68.00%,75.00%,81.00%,>81.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,1,9,17.00%,27.00%,35.00%,39.00%,48.00%,>48.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,10,24,19.00%,29.00%,36.00%,41.00%,49.00%,>49.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,25,49,23.00%,29.00%,36.00%,41.00%,50.00%,>50.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,50,99,25.00%,30.00%,38.00%,43.00%,54.00%,>54.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,100,199,27.00%,37.00%,46.00%,51.00%,56.00%,>56.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,200,499,27.00%,42.00%,50.00%,56.00%,60.00%,>60.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,500,999,27.00%,45.00%,54.00%,61.00%,65.00%,>65.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,1000,1999,33.00%,46.00%,60.00%,67.00%,71.00%,>71.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,2000,2999,33.00%,49.00%,64.00%,72.00%,79.00%,>79.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,3000,4999,33.00%,51.00%,65.00%,75.00%,81.00%,>81.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,5000,7499,37.00%,54.00%,67.00%,77.00%,83.00%,>83.00%
[Unlimited] Field Service Plus for Energy & Utilities Cloud,7500,1000000000,38.00%,55.00%,68.00%,78.00%,85.00%,>85.00%
[Unlimited] Media Cloud Growth - Service,1,9,32.00%,41.00%,47.00%,50.00%,58.00%,>58.00%
[Unlimited] Media Cloud Growth - Service,10,24,35.00%,43.00%,47.00%,52.00%,58.00%,>58.00%
[Unlimited] Media Cloud Growth - Service,25,49,38.00%,43.00%,47.00%,52.00%,60.00%,>60.00%
[Unlimited] Media Cloud Growth - Service,50,99,40.00%,44.00%,49.00%,53.00%,61.00%,>61.00%
[Unlimited] Media Cloud Growth - Service,100,199,41.00%,48.00%,56.00%,61.00%,63.00%,>63.00%
[Unlimited] Media Cloud Growth - Service,200,499,41.00%,54.00%,60.00%,63.00%,67.00%,>67.00%
[Unlimited] Media Cloud Growth - Service,500,999,41.00%,55.00%,62.00%,68.00%,72.00%,>72.00%
[Unlimited] Media Cloud Growth - Service,1000,1999,45.00%,56.00%,67.00%,73.00%,76.00%,>76.00%
[Unlimited] Media Cloud Growth - Service,2000,2999,45.00%,59.00%,70.00%,77.00%,83.00%,>83.00%
[Unlimited] Media Cloud Growth - Service,3000,4999,45.00%,61.00%,72.00%,79.00%,85.00%,>85.00%
[Unlimited] Media Cloud Growth - Service,5000,7499,49.00%,62.00%,74.00%,81.00%,87.00%,>87.00%
[Unlimited] Service Cloud - Off-Peak Shift User,1,9,25.00%,34.00%,41.00%,45.00%,53.00%,>53.00%
[Unlimited] Service Cloud - Off-Peak Shift User,10,24,27.00%,36.00%,42.00%,47.00%,53.00%,>53.00%
[Unlimited] Service Cloud - Off-Peak Shift User,25,49,30.00%,36.00%,42.00%,47.00%,55.00%,>55.00%
[Unlimited] Service Cloud - Off-Peak Shift User,50,99,32.00%,37.00%,44.00%,48.00%,58.00%,>58.00%
[Unlimited] Service Cloud - Off-Peak Shift User,100,199,34.00%,43.00%,51.00%,56.00%,60.00%,>60.00%
[Unlimited] Service Cloud - Off-Peak Shift User,200,499,34.00%,48.00%,55.00%,60.00%,64.00%,>64.00%
[Unlimited] Service Cloud - Off-Peak Shift User,500,999,34.00%,50.00%,58.00%,65.00%,68.00%,>68.00%
[Unlimited] Service Cloud - Off-Peak Shift User,1000,1999,39.00%,51.00%,64.00%,70.00%,74.00%,>74.00%
[Unlimited] Service Cloud - Off-Peak Shift User,2000,2999,39.00%,54.00%,67.00%,75.00%,81.00%,>81.00%
[Unlimited] Service Cloud - Off-Peak Shift User,3000,4999,39.00%,56.00%,68.00%,77.00%,83.00%,>83.00%
[Unlimited] Service Cloud - Off-Peak Shift User,5000,7499,43.00%,58.00%,70.00%,79.00%,85.00%,>85.00%
[Unlimited] Service Cloud - Off-Peak Shift User,7500,999999999,44.00%,59.00%,71.00%,80.00%,86.00%,>86.00%
[Unlimited] Public Sector Foundation - Advanced,1,9,30.00%,40.00%,50.00%,56.00%,61.00%,>61.00%
[Unlimited] Public Sector Foundation - Advanced,10,24,32.00%,42.00%,52.00%,59.00%,64.00%,>64.00%
[Unlimited] Public Sector Foundation - Advanced,25,49,35.00%,45.00%,55.00%,62.00%,68.00%,>68.00%
[Unlimited] Public Sector Foundation - Advanced,50,99,38.00%,48.00%,58.00%,66.00%,72.00%,>72.00%
[Unlimited] Public Sector Foundation - Advanced,100,199,40.00%,50.00%,61.00%,69.00%,75.00%,>75.00%
[Unlimited] Public Sector Foundation - Advanced,200,499,44.00%,54.00%,65.00%,73.00%,79.00%,>79.00%
[Unlimited] Public Sector Foundation - Advanced,500,999,48.00%,58.00%,69.00%,77.00%,83.00%,>83.00%
[Unlimited] Public Sector Foundation - Advanced,1000,1999,52.00%,62.00%,73.00%,81.00%,87.00%,>87.00%
[Unlimited] Public Sector Foundation - Advanced,2000,2999,56.00%,66.00%,77.00%,85.00%,89.00%,>89.00%
[Unlimited] Public Sector Foundation - Advanced,3000,4999,58.00%,68.00%,79.00%,87.00%,90.00%,>90.00%
[Unlimited] Public Sector Foundation - Advanced,5000,7499,60.00%,70.00%,81.00%,89.00%,91.00%,>91.00%
[Unlimited] Public Sector Foundation - Advanced,7500,9999,60.00%,70.00%,81.00%,89.00%,92.00%,>92.00%
[Unlimited] Public Sector Foundation - Advanced,10000,999999999,,,,,,>0.00%
[Enterprise] Service Cloud (Emerging Market),1,9,38.00%,43.00%,50.00%,57.00%,61.00%,>61.00%
[Enterprise] Service Cloud (Emerging Market),10,24,39.00%,45.00%,52.00%,60.00%,66.00%,>66.00%
[Enterprise] Service Cloud (Emerging Market),25,49,41.00%,45.00%,52.00%,60.00%,66.00%,>66.00%
[Enterprise] Service Cloud (Emerging Market),50,99,42.00%,45.00%,53.00%,61.00%,66.00%,>66.00%
[Enterprise] Service Cloud (Emerging Market),100,199,42.00%,47.00%,58.00%,71.00%,76.00%,>76.00%
[Enterprise] Service Cloud (Emerging Market),200,499,43.00%,53.00%,64.00%,79.00%,85.00%,>85.00%
[Enterprise] Service Cloud (Emerging Market),500,999,43.00%,56.00%,68.00%,83.00%,86.00%,>86.00%
[Enterprise] Service Cloud (Emerging Market),1000,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",1,1,16.00%,22.00%,27.00%,34.00%,40.00%,>40.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",2,3,20.00%,24.00%,30.00%,35.00%,42.00%,>42.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",4,9,22.00%,27.00%,32.00%,38.00%,45.00%,>45.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",10,24,26.00%,30.00%,35.00%,40.00%,50.00%,>50.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",25,49,30.00%,34.00%,38.00%,43.00%,54.00%,>54.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",50,99,32.00%,34.00%,40.00%,46.00%,58.00%,>58.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",100,249,34.00%,37.00%,43.00%,50.00%,61.00%,>61.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",250,499,34.00%,40.00%,48.00%,53.00%,64.00%,>64.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",500,999,38.00%,42.00%,50.00%,56.00%,68.00%,>68.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",1000,4999,40.00%,46.00%,52.00%,60.00%,72.00%,>72.00%
"[Enterprise, Unlimited] Insurance Claims Management - First Notice of Loss",5000,999999999,,,,,,>0.00%
[Unlimited] Service Cloud (Emerging Market),1,9,44.00%,51.00%,56.00%,59.00%,66.00%,>66.00%
[Unlimited] Service Cloud (Emerging Market),10,24,46.00%,52.00%,57.00%,61.00%,66.00%,>66.00%
[Unlimited] Service Cloud (Emerging Market),25,49,48.00%,52.00%,57.00%,61.00%,66.00%,>66.00%
[Unlimited] Service Cloud (Emerging Market),50,99,49.00%,53.00%,58.00%,62.00%,68.00%,>68.00%
[Unlimited] Service Cloud (Emerging Market),100,199,51.00%,58.00%,64.00%,67.00%,70.00%,>70.00%
[Unlimited] Service Cloud (Emerging Market),200,499,51.00%,61.00%,69.00%,76.00%,79.00%,>79.00%
[Unlimited] Service Cloud (Emerging Market),500,999,51.00%,64.00%,71.00%,81.00%,85.00%,>85.00%
[Unlimited] Service Cloud (Emerging Market),1000,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Salesforce Message Credits - WhatsApp (1,000)",1,999999999,64.00%,90.00%,90.50%,91.00%,,>91.00%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",1,499,4.00%,7.00%,11.00%,14.00%,,>14.00%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",500,2499,39.00%,50.00%,59.00%,69.00%,,>69.00%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",2500,4999,58.00%,66.00%,75.00%,83.00%,,>83.00%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",5000,19999,83.00%,87.00%,91.00%,93.00%,,>93.00%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",20000,49999,91.00%,92.50%,94.00%,96.00%,,>96.00%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",50000,99999,95.00%,96.10%,97.00%,97.90%,,>97.90%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",100000,199999,97.20%,97.60%,98.00%,98.50%,98.90%,>98.90%
"[Enterprise, Unlimited] Mobile Publisher for Logins (Per Month)",200000,499999,98.60%,98.80%,99.00%,99.30%,99.50%,>99.50%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",1,10,0.00%,0.00%,15.00%,31.00%,,>31.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",11,20,1.00%,20.00%,34.00%,>34.00%,,
"[Enterprise, Unlimited] Survey Response Pack (1,000)",21,40,9.00%,23.00%,40.00%,>40.00%,,
"[Enterprise, Unlimited] Survey Response Pack (1,000)",41,70,2.00%,16.00%,30.00%,47.00%,,>47.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",71,100,9.00%,23.00%,34.00%,53.00%,,>53.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",101,200,16.00%,32.00%,40.00%,55.00%,,>55.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",201,400,26.00%,37.00%,47.00%,63.00%,,>63.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",401,700,35.00%,45.00%,54.00%,68.00%,,>68.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",701,1000,43.00%,52.00%,64.00%,78.00%,,>78.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",1001,1500,49.00%,62.00%,70.00%,82.00%,,>82.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",1501,2000,56.00%,66.00%,73.00%,85.00%,,>85.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",2001,3000,62.00%,69.00%,76.00%,86.00%,,>86.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",3001,4000,65.00%,73.00%,78.00%,87.00%,,>87.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",4001,5000,67.00%,75.00%,80.00%,88.00%,,>88.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",5001,10000,70.00%,78.00%,82.00%,89.00%,,>89.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",10001,15000,73.00%,81.00%,85.00%,90.00%,,>90.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",15001,20000,75.00%,84.00%,87.00%,91.00%,,>91.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",20001,40000,76.00%,85.00%,89.00%,92.00%,95.00%,>95.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",40001,70000,77.00%,86.00%,90.00%,95.00%,96.00%,>96.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",70001,100000,78.00%,87.00%,91.00%,95.00%,96.00%,>96.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",100001,200000,79.00%,88.00%,92.00%,95.00%,96.00%,>96.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",200001,500000,80.00%,89.00%,93.00%,95.00%,97.00%,>97.00%
"[Enterprise, Unlimited] Survey Response Pack (1,000)",500001,999999999,81.00%,90.00%,95.00%,97.00%,98.00%,>98.00%
"[Enterprise, Unlimited] Customer Portal - Usage Based Add-on User",1,99,50.00%,65.00%,80.00%,>80.00%,,
"[Enterprise, Unlimited] Customer Portal - Usage Based Add-on User",100,199,55.00%,70.00%,85.00%,>85.00%,,
"[Enterprise, Unlimited] Customer Portal - Usage Based Add-on User",200,999,60.00%,75.00%,90.00%,>90.00%,,
"[Enterprise, Unlimited] Customer Portal - Usage Based Add-on User",1000,4999,65.00%,77.00%,93.00%,>93.00%,,
"[Enterprise, Unlimited] Customer Portal - Usage Based Add-on User",5000,9999,70.00%,81.00%,94.00%,96.00%,,>96.00%
"[Enterprise, Unlimited] Customer Portal - Usage Based Add-on User",10000,999999999,75.00%,83.00%,95.00%,97.00%,,>97.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",1,19,55.00%,59.00%,63.00%,67.00%,,>67.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",20,199,59.00%,63.00%,67.00%,71.00%,,>71.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",200,350,63.00%,67.00%,71.00%,75.00%,,>75.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",351,499,67.00%,71.00%,75.00%,79.00%,,>79.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",500,749,71.00%,75.00%,79.00%,83.00%,,>83.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",750,1249,75.00%,79.00%,83.00%,87.00%,,>87.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",1250,2999,79.00%,83.00%,87.00%,91.00%,,>91.00%
"[Enterprise, Unlimited] B2C Order Management for Media Cloud (5,000 Orders/year)",3000,999999999,83.00%,87.00%,91.00%,95.00%,,>95.00%
"[Enterprise, Unlimited] Communications Cloud - B2C BSS Suite",1,999999999,70.00%,75.00%,80.00%,85.00%,87.00%,>87.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,1,9,1.00%,3.00%,8.00%,15.00%,26.00%,>26.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,10,24,2.00%,4.00%,9.00%,18.00%,30.00%,>30.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,25,49,5.00%,7.00%,12.00%,18.00%,30.00%,>30.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,50,99,6.00%,8.00%,13.00%,18.00%,31.00%,>31.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,100,199,8.00%,10.00%,15.00%,22.00%,35.00%,>35.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,200,499,9.00%,11.00%,16.00%,30.00%,41.00%,>41.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,500,999,9.00%,11.00%,16.00%,33.00%,45.00%,>45.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,1000,1999,11.00%,13.00%,18.00%,35.00%,47.00%,>47.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,2000,2999,11.00%,16.00%,21.00%,40.00%,54.00%,>54.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,3000,4999,11.00%,18.00%,22.00%,42.00%,56.00%,>56.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,5000,7499,15.00%,20.00%,24.00%,44.00%,58.00%,>58.00%
[Unlimited] Service Provisioning for Agentforce 1 Edition,7500,999999999,16.00%,21.00%,25.00%,45.00%,59.00%,>59.00%
[Enterprise] Digital Engagement,1,9,15.00%,20.00%,34.00%,50.00%,,>50.00%
[Enterprise] Digital Engagement,10,24,17.00%,23.00%,34.00%,50.00%,,>50.00%
[Enterprise] Digital Engagement,25,49,20.00%,26.00%,34.00%,50.00%,,>50.00%
[Enterprise] Digital Engagement,50,99,23.00%,28.00%,40.00%,52.00%,,>52.00%
[Enterprise] Digital Engagement,100,199,29.00%,34.00%,45.00%,55.00%,,>55.00%
[Enterprise] Digital Engagement,200,499,36.00%,42.00%,50.00%,60.00%,,>60.00%
[Enterprise] Digital Engagement,500,999,41.00%,47.00%,53.00%,63.00%,,>63.00%
[Enterprise] Digital Engagement,1000,1999,47.00%,53.00%,58.00%,67.00%,,>67.00%
[Unlimited] Digital Engagement,1,9,21.00%,27.00%,41.00%,58.00%,,>58.00%
[Unlimited] Digital Engagement,10,24,23.00%,30.00%,41.00%,58.00%,,>58.00%
[Unlimited] Digital Engagement,25,49,27.00%,33.00%,41.00%,58.00%,,>58.00%
[Unlimited] Digital Engagement,50,99,30.00%,35.00%,48.00%,60.00%,,>60.00%
[Unlimited] Digital Engagement,100,199,36.00%,41.00%,53.00%,63.00%,,>63.00%
[Unlimited] Digital Engagement,200,499,43.00%,50.00%,58.00%,69.00%,,>69.00%
[Unlimited] Digital Engagement,500,999,49.00%,55.00%,61.00%,72.00%,,>72.00%
[Unlimited] Digital Engagement,1000,1999,55.00%,61.00%,66.00%,76.00%,,>76.00%
[Unlimited] Digital Engagement,2000,999999999,58.00%,64.00%,71.00%,84.00%,,>84.00%
"[Essentials, Enterprise, Unlimited] Digital Engagement - WhatsApp Outbound Messages (1,000)",1,1000000000,5.00%,10.00%,13.00%,17.00%,,>17.00%
"[Essentials, Enterprise, Unlimited] Digital Engagement - Vanity Short Code (US)",1,1000000000,10.00%,15.00%,20.00%,25.00%,30.00%,>30.00%
"[Enterprise, Unlimited] Einstein Bots",1,49,12.00%,16.00%,25.00%,40.00%,,>40.00%
"[Enterprise, Unlimited] Einstein Bots",50,99,16.00%,21.00%,28.00%,45.00%,,>45.00%
"[Enterprise, Unlimited] Einstein Bots",100,499,19.00%,25.00%,35.00%,50.00%,,>50.00%
"[Enterprise, Unlimited] Einstein Bots",500,999,21.00%,28.00%,40.00%,55.00%,,>55.00%
"[Enterprise, Unlimited] Einstein Bots",1000,9999,25.00%,30.00%,45.00%,60.00%,,>60.00%
"[Enterprise, Unlimited] Einstein Bots",10000,99999,30.00%,34.00%,50.00%,70.00%,,>70.00%
"[Enterprise, Unlimited] Einstein Bots",100000,999999999,,,,,,>0.00%
"[Enterprise, Unlimited] Feedback Management - Starter",1,999999999,34.00%,39.00%,44.00%,58.00%,,>58.00%
[Unlimited] Service Cloud Voice,1,9,8.00%,15.00%,26.00%,36.00%,42.00%,>42.00%
[Unlimited] Service Cloud Voice,10,24,9.00%,18.00%,30.00%,41.00%,48.00%,>48.00%
[Unlimited] Service Cloud Voice,25,49,12.00%,18.00%,30.00%,41.00%,48.00%,>48.00%
[Unlimited] Service Cloud Voice,50,99,13.00%,18.00%,31.00%,42.00%,49.00%,>49.00%
[Unlimited] Service Cloud Voice,100,199,15.00%,22.00%,35.00%,47.00%,52.00%,>52.00%
[Unlimited] Service Cloud Voice,200,499,16.00%,30.00%,41.00%,49.00%,54.00%,>54.00%
[Unlimited] Service Cloud Voice,500,999,16.00%,33.00%,45.00%,55.00%,60.00%,>60.00%
[Unlimited] Service Cloud Voice,1000,1999,18.00%,35.00%,47.00%,58.00%,64.00%,>64.00%
[Unlimited] Service Cloud Voice,2000,1000000000,18.00%,38.00%,53.00%,65.00%,70.00%,>70.00%
[Unlimited] Contact Center,1,199,,,,,,>0.00%
